name,address,latitude,longitude,hours,website,phone,nearestSpot,nearestSpotCounty
Sycamore House,,52.389092,-6.577532,Check local listings,,,Killurin,
Marty Bs Pub,,52.383773,-6.578303,Check local listings,,,Killurin,
Timmy Martin’s,"23, Sarsfield Street, Limerick",52.664401,-8.627876,Check local listings,,+353 61 412 238,Limerick,
Forde's Courtyard,"Little Ellen Street, Limerick",52.664547,-8.624155,Check local listings,,,Limerick,
Black Rabbit,"7, Carr Street, Limerick",52.663787,-8.622579,Check local listings,,,Limerick,
Michael Flannery’s,"17, Denmark Street Upper, Limerick",52.663229,-8.62338,Check local listings,https://www.flannerysbar.ie/,,Limerick,
The Tavern,"38, Upper William Street, Limerick",52.661073,-8.621581,Check local listings,,,Limerick,
Rasher’s,"27-28, Upper Gerald Griffin Street, Limerick",52.661536,-8.622713,Check local listings,,,Limerick,
Patsy Nicholas,"5, Upper Gerald Griffin Street, Limerick",52.661375,-8.622541,Check local listings,,,Limerick,
Barge,,53.991288,-8.065848,Check local listings,,,Leitrim,
The Leitrim Inn,,53.991048,-8.065604,Check local listings,https://www.theleitriminn.com/,,Leitrim,
Sharkey’s Bar,Annagary,55.022117,-8.319599,Check local listings,,,Anagaire,Donegal
The Shack,"2-4, Old Blessington Road, Tallaght",53.289701,-6.365012,Check local listings,https://www.theshacktallaght.ie,,Tallaght,Dublin
The Rock Bar,,52.70173,-7.303199,Check local listings,,,Hennebry's Cross,
Lifebelt Bar,,53.675329,-7.995006,Check local listings,,,Ballyleague,
Murphy’s,"9, High Street, Galway",53.27195,-9.053571,Check local listings,,,Galway,
Sonny Molloy’s,"3, High Street, Galway",53.271619,-9.053787,Check local listings,https://www.frontdoorpub.com/sonny-molloys/,,Galway,
Ratigan's Pub,,53.676858,-8.108021,Check local listings,,,Cloontuskert,
Aidie Farrell's Swan Tavern,,53.672211,-7.988326,Check local listings,,,Lanesborough,
Joe Farrell's,,53.672401,-7.988369,Check local listings,,,Lanesborough,
Clarke's Bar,,53.672474,-7.988836,Check local listings,,,Lanesborough,
The Woodworkers,"20-22, Bradbury Place, Belfast",54.588909,-5.934508,Check local listings,https://woodworkersbelfast.com,+442890871106,Queen's Quarter,
St. Faithleach's Club House,,53.676205,-8.009412,Check local listings,,,Ballyleague,
Quarry House,"68, Ballygall Road East, Dublin",53.382084,-6.276725,Mo-Th 11:00-23:00; Fr-Sa 11:00-00:30; Su 12:00-23:00,,,Glasnevin,Dublin
Autobahn Roadhouse,Glasnevin Avenue,53.389704,-6.271221,Check local listings,,,Ballymun,Dublin
The Auld Stand,,53.507711,-6.460563,Check local listings,,,Ratoath,Meath
Nugents Bar,,52.272454,-7.810995,Check local listings,,,Newcastle,
Melody's Nire View Bar,,52.266502,-7.710703,Check local listings,,,Ballymacarbry,
Blanchfield's Pub,,52.490644,-6.930447,Check local listings,,,Saint Mullin's,
Old Bear,"125, Barrack Street, Cork",51.89437,-8.4772,Check local listings,,,South Parish,
The Gallows,Bandon Road,51.892654,-8.481285,Check local listings,,,Greenmount,
