name,name_ga,county,lat,lon,type
Stradbally,An Sráidbhaile,Laois,53.0160548,-7.1499661,town
Killorglin,Cill Orglan,,52.1061973,-9.7867881,town
Clonkeen,Cluain Chaoin,Kerry,51.9883463,-9.2967956,village
Millbrook,,Meath,53.7500237,-7.1671207,hamlet
Eanach Dhúin,Eanach Dhúin,Galway,53.3866665,-9.068852,village
Milford,Áth an Mhuilinn,,52.3408811,-8.8560775,village
Ballinagleragh,Baile na gCleireach,,54.1564692,-8.0057339,village
Swanlinbar,An Muileann Iarainn,,54.194722,-7.704444,village
Casla,Casla,Galway,53.2885187,-9.5529889,village
Abbeyfeale,Mainistir na Féile,Limerick,52.3847629,-9.301549,town
Bridgend,Ceann an Droichid,,55.0413841,-7.3791898,village
Ros Dumhach,Ros Dumhach,Mayo,54.281667,-9.799722,village
Ballinspittle,Béal Átha an Spidéil,,51.666677,-8.5955782,village
Bunclody,Bun Clóidi,Wexford,52.6551145,-6.6520502,town
Laytown,An Inse,Meath,53.681944,-6.239167,village
Carrigkerry,,,52.4942655,-9.1476629,village
Kilbaha,Cill Bheathach,Clare,52.5673986,-9.8753652,hamlet
Glenville,Gleann an Phréacháin,,52.043889,-8.424722,village
An Fód Dubh,An Fód Dubh,,54.100278,-10.070278,hamlet
Ailt an Chorráin,Ailt an Chorráin,,54.9811945,-8.4225429,village
Ballybofey,Bealach Féich,Donegal,54.7990639,-7.7819496,town
Tydavnet,Tigh Damhnata,,54.2969425,-7.0151348,village
Ballinamore,Béal an Átha Móir,,54.0526883,-7.8003268,town
Kilmeague,Cill Maodhóg,,53.2507957,-6.8395794,village
Letterkenny,Leitir Ceanainn,,54.9517941,-7.7354368,town
Ballylongford,Béal Átha Longfoirt,,52.5459637,-9.4750396,village
Bailieborough,Coill an Chollaigh,Cavan,53.9168576,-6.9707125,town
Knockvicar,Cnoc an Bhiocáire,,53.9991721,-8.1944669,hamlet
Burnfoot,Bun na hAbhann,Donegal,55.0583559,-7.4051055,village
Milltownpass,,Westmeath,53.4420544,-7.2441662,village
Errill,,,52.8599041,-7.6779118,village
Buttevant,Cill na Mallach,,52.23317,-8.6704936,town
Carracastle,,,53.950278,-8.6925,village
Dromod,Dromad,,53.8573843,-7.9206135,village
Oldcastle,An Seanchaisleán,,53.7692495,-7.1625368,town
Garryvoe,Garraí Bhoithe,Cork,51.8600728,-8.0027265,village
Broadford,Áth Leathan,Clare,52.805536,-8.6338474,village
Killurin,,,52.3837871,-6.5785299,village
